2025-09-06 17:06:00,810 | INFO     | __main__ | _initialize:387 | Base de datos inicializada correctamente
2025-09-06 17:06:02,211 | INFO     | __mp_main__ | _initialize:387 | Base de datos inicializada correctamente
2025-09-06 17:06:02,325 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:02,423 | INFO     | main | _initialize:387 | Base de datos inicializada correctamente
2025-09-06 17:06:02,423 | INFO     | main | _initialize:387 | Base de datos inicializada correctamente
2025-09-06 17:06:02,435 | INFO     | main | lifespan:817 | ============================================================
2025-09-06 17:06:02,435 | INFO     | main | lifespan:817 | ============================================================
2025-09-06 17:06:02,437 | INFO     | main | lifespan:818 | 🚀 Iniciando Sistema de Inventario Naturista Premium
2025-09-06 17:06:02,437 | INFO     | main | lifespan:818 | 🚀 Iniciando Sistema de Inventario Naturista Premium
2025-09-06 17:06:02,438 | INFO     | main | lifespan:819 | 📌 Versión: 7.0.0
2025-09-06 17:06:02,438 | INFO     | main | lifespan:819 | 📌 Versión: 7.0.0
2025-09-06 17:06:02,439 | INFO     | main | lifespan:820 | 🌍 Entorno: development
2025-09-06 17:06:02,439 | INFO     | main | lifespan:820 | 🌍 Entorno: development
2025-09-06 17:06:02,440 | INFO     | main | lifespan:821 | ============================================================
2025-09-06 17:06:02,440 | INFO     | main | lifespan:821 | ============================================================
2025-09-06 17:06:02,685 | INFO     | watchfiles.main | _log_changes:308 | 6 changes detected
2025-09-06 17:06:02,775 | INFO     | main | lifespan:828 | ✅ Base de datos conectada: inventario
2025-09-06 17:06:02,775 | INFO     | main | lifespan:828 | ✅ Base de datos conectada: inventario
2025-09-06 17:06:02,777 | INFO     | main | lifespan:829 | 📊 Tamaño BD: 8.72 MB
2025-09-06 17:06:02,777 | INFO     | main | lifespan:829 | 📊 Tamaño BD: 8.72 MB
2025-09-06 17:06:02,777 | INFO     | main | lifespan:830 | 🔌 Conexiones activas: 1
2025-09-06 17:06:02,777 | INFO     | main | lifespan:830 | 🔌 Conexiones activas: 1
2025-09-06 17:06:03,040 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:03,393 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:03,749 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:04,105 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:04,474 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:04,830 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:05,237 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:05,650 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:06,066 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:06,431 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:06,837 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:07,249 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:07,665 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
